artistID,artistName,artistPopularity,artistFollowers,artistGenre,date
4YrKBkKSVeqDamzBPWVnSJ,Basement Jaxx,51,524868,"alternative dance, big beat, electronica",2024-05-21
6xQvQwZQQuq9R3TdPNbcR8,Bassjackers,57,735138,"dutch house, edm, electro house, pop dance, progressive electro house",2024-05-21
1JPy5PsJtkhftfdr6saN2i,Bassnectar,49,597049,"bass music, breakbeat, brostep, edm, glitch hop",2024-05-21
7EQ0qTo7fWT7DPxmxtSYEc,Bastille,72,5500689,"metropopolis, modern rock, pop",2024-05-21
2BJTwV4IpFe2gWL46KKlji,Basto,35,74069,"belgian edm, progressive electro house",2024-05-21
3EMSpwRtkvUTxfB4aS5xnA,Battles,32,163180,"experimental pop, experimental rock, instrumental math rock, math rock, noise pop, post-rock",2024-05-21
56ZTgzPBDge0OvCGgMO3OY,Beach House,69,2190297,"baltimore indie, dream pop, dreamo, indie rock, indietronica, modern dream pop, pov: indie",2024-05-21
3d5usliWmjkMKGsv2X341Q,Beach Slang,22,36994,"indie punk, modern power pop, philly indie",2024-05-21
30DZgkaEYdezg2QMrMgrnm,Beats Antique,36,194382,"belly dance, glitch hop, world fusion",2024-05-21
4obzFoKoKRHIphyHzJ35G3,Becky G,75,14513614,"latin pop, latin viral pop, rap latina, reggaeton, trap latino, urbano latino",2024-05-21
6pmxr66tMAePxzOLfjGNcX,Beirut,53,989972,"albuquerque indie, baroque pop, chamber pop, indie rock, indietronica, stomp and holler",2024-05-21
4I2BJf80C0skQpp1sQmA0h,Belle and Sebastian,54,659799,"alternative rock, baroque pop, chamber pop, indie rock, melancholia, scottish indie, scottish rock, singer-songwriter, twee pop",2024-05-21
45lorWzrKLxfKlWpV7r9CN,Ben Harper,57,1002061,"neo mellow, pastoral",2024-05-21
4Ws2otunReOa6BbwxxpCt6,Benny Benassi,63,548178,"dutch house, edm, electro house, pop dance",2024-05-21
5YkBrE0wF8cAlq3GCOw5Eu,Best Coast,41,318389,"indie rock, indie surf, indietronica, la indie, metropopolis, noise pop",2024-05-21
6vWDO969PvNqNYHIOW5v0m,Beyoncé,86,37407298,"pop, r&b",2024-05-21
73A3bLnfnz5BoQjb4gNCga,BICEP,59,543403,"ambient house, electronica",2024-05-21
1km0R7wy712AzLkA1WjKET,Biffy Clyro,53,715325,"modern rock, scottish rock",2024-05-21
2ht3wxeT69CzyKFChNnNAB,Big Boi,50,440744,"atl hip hop, dirty south rap, hip hop, southern hip hop",2024-05-21
2gyv1akuIB9fQvXoGSPaJr,Big Freedia,44,106955,"bounce, escape room, lgbtq+ hip hop, new orleans rap, trap queen",2024-05-21
7o7mC95EDbJKTcPAAs8C3r,Big Gigantic,48,256282,"electronic trap, glitch hop",2024-05-21
1lOQRP0UJWmpoDWBa8PB0B,Big Head Todd and The Monsters,42,132728,roots rock,2024-05-21
0PxzGnCYBpSuaI49OR94cA,Big Wild,55,269544,vapor soul,2024-05-21
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,89,94201235,"art pop, pop",2024-05-21
5yXAFDZNUNyO92l5WTImkO,Billy Bragg,48,168534,"anti-folk, folk punk, permanent wave, singer-songwriter, uk americana",2024-05-21
7lzordPuZEXxwt9aoVZYmG,Billy Idol,66,1959268,"album rock, classic rock, dance rock, hard rock, new romantic, new wave, new wave pop, rock, soft rock",2024-05-21
08yf5A2nS4XEeNvabDXqyg,Billy Talent,61,1247246,canadian punk,2024-05-21
1pbHrVayIcVpHI9z97u4bK,Bingo Players,54,466803,"big room, dutch house, edm, electro house, melbourne bounce, pop dance, progressive electro house, progressive house",2024-05-21
7w29UYBi0qsHi5RTcv3lmA,Björk,59,2063884,"alternative rock, art pop, electronica, experimental pop, experimental vocal, icelandic experimental, icelandic pop, icelandic singer-songwriter, metropopolis, permanent wave, trip hop",2024-05-21
3htrZBhzS3ZS9on1Yjh8LH,Bjorn Akesson,16,5724,"progressive uplifting trance, trance, uplifting trance",2024-05-21
4tpUmLEVLCGFr93o8hFFIB,Blondie,67,1461905,"candy pop, new wave pop, permanent wave, power pop, rock, synthpop",2024-05-21
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,77,8088816,"dance pop, pop, pop rap",2024-05-21
7Hvq85OU8T7Hsd63zNBwaL,black midi,41,258095,"avant-prog, brutal prog, crank wave, noise rock, uk noise rock, uk post-punk revival",2024-05-21
1tpXaFf2F55E7kVJON4j4G,Black Rebel Motorcycle Club,48,552296,"alternative rock, garage rock, garage rock revival, modern blues rock, permanent wave",2024-05-21
5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,70,7793201,"album rock, alternative metal, birmingham metal, classic rock, hard rock, metal, rock, stoner rock, uk doom metal",2024-05-21
1UTPBmNbXNTittyMJrNkvw,Blake Shelton,67,7106166,"classic oklahoma country, contemporary country, country, country road, modern country rock",2024-05-21
37awA8DFCAnCCL7aqYbDnD,Blasterjaxx,58,768450,"big room, dutch house, edm, electro house, pop dance, progressive electro house, slap house",2024-05-21
2eam0iDomRHGBypaDQLwWI,Bleachers,66,731772,"indie pop, indie poptimism, modern rock, pov: indie",2024-05-21
6FBDaR13swtiWwGhX1WQsP,blink-182,75,8182793,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",2024-05-21
72XY3HrDdFfZXNZFCT9Zh1,Blitzen Trapper,47,128749,"indie folk, modern folk rock, new americana, portland indie, stomp and holler",2024-05-21
3MM8mtgFzaEJsqbjZBSsHJ,Bloc Party,58,1124162,"alternative dance, alternative rock, dance-punk, indie rock, indietronica, modern rock, neo-synthpop, new rave",2024-05-21
