date,isLiked,artistName,artistID,artistPopularity,artistFollowers,artistGenre
,,Shpongle,0m5XJwKGYyUjd3VMfcINCQ,45,266374,"downtempo, livetronica, new tribe, psychedelic trance, psychill"
,,Sia,5WUlDfRSoLAfcVSX1WnrxN,84,26267624,"australian dance, australian pop, pop"
,,Sidney Samson,3XonXgjEAAXVl0WKLF1Z4g,47,65798,"dutch house, electro house, melbourne bounce, progressive electro house"
,,Sigma,01pKrlgPJhm5dB4lneYAqS,58,307894,"dancefloor dnb, house, pop dance, tropical house, uk dance"
,,Sigur Rós,6UUrUCIZtQeOf8tC0WuzRy,55,1234773,"chamber pop, compositional ambient, dream pop, ethereal wave, icelandic rock, indie rock, melancholia, nordic post-rock, post-rock"
,,Silversun Pickups,6qyi8X6MdP1lu6B1K6yh3h,55,608962,"alternative rock, indie rock, la indie, modern rock"
,,Simian Mobile Disco,31DXlldabwPHwu6dYevuzK,41,166186,"alternative dance, electrofox, electronica, filter house, indietronica, neo-synthpop, new rave"
,,Simon Patterson,3QxbGzjZc3kgHNJOBOZM2M,37,57303,"progressive house, progressive trance, trance, uplifting trance"
,,Skepta,2p1fiYHYiXz9qi0JJyxBzN,73,1112663,"birmingham grime, grime, instrumental grime, uk hip hop"
,,Skid Row,4opTS86dN9uO313J9CE8xg,62,2627943,"album rock, glam metal, hard rock, metal, rock"
,,Skillet,49bzE5vRBRIota4qeHtQM8,73,4641789,"alternative metal, christian alternative rock, christian music, christian rock, post-grunge"
,,Skism,7rGrCdZzmlh4vQUfEkAcIz,27,92,
,,Skream,2jbP92oFLWqPqogflK1wlW,47,124761,"classic dubstep, uk bass"
,,Skrillex,5he5w2lnU9x7JFhnwcekXX,78,8182211,"brostep, complextro, edm, electro, pop dance"
,,Slash feat. Myles Kennedy,1J0FSEQhWSMHcYqaapIjY6,50,20771,
,,Slaves,0QF3SelvOph6yRhKH8jRxU,47,24244,
,,Slayer,1IQ2e1buppatiN1bxUVkrk,68,3488646,"alternative metal, death metal, groove metal, hard rock, metal, nu metal, old school thrash, rock, speed metal, thrash metal"
